Phone Number,name,Phone to Name.name,Phone to Name.source,Phone to Name.vpa,Phone Name Attributes.businessNameDetected,Phone Name Attributes.digitalage,Phone Name Attributes.firstNameMatch,Phone Name Attributes.lastNameMatch,Phone Name Attributes.nameMatchScore,Phone Name Attributes.ndrScore,Phone Name Attributes.phoneFootprintStrengthOverall,Phone Name Attributes.phoneNameDigitalAge,Phone Name Attributes.unrScore,Phone Network.currentNetworkName,Phone Network.currentNetworkRegion,Phone Network.imsi,Phone Network.isPhoneReachable,Phone Network.numberBillingType,Phone Network.numberHasPortingHistory,Phone Network.portedFromNetworkName,Phone Network.portedFromNetworkRegion,Phone Social Premium.a23games,Phone Social Premium.amazon,Phone Social Premium.byjus,Phone Social Premium.flipkart,Phone Social Premium.housing,Phone Social Premium.indiamart,Phone Social Premium.instagram,Phone Social Premium.jeevansaathi,Phone Social Premium.jiomart,Phone Social Premium.my11,Phone Social Premium.paytm,Phone Social Premium.rummycircle,Phone Social Premium.shaadi,Phone Social Premium.swiggy,Phone Social Premium.whatsapp,Phone Social Premium.yatra,Risk Model.alternateRiskScore,Risk Model.digitalFootprint,Risk Model.identityConfidence,Risk Model.negativeInsights,Risk Model.phoneSocialMediaCount,Risk Model.positiveInsights,Risk Model.socialFootprintScore,Risk Model.telecomRisk,Zone,City,State
787248750802,Raj Doe,Raj Smith,YBL,720006699221@randomvpa,False,2151,True,False,86,0.6,Medium,2151,0.2,Reliance Jio,Delhi,4058729386.0,True,prepaid,True,Other networks,,Error,Account Found,Account Not Found,Account Found,Account Not Found,Account Found,Account Found,Account Not Found,Account Found,Error,Account Found,Error,Account Not Found,Account Not Found,Account Found,Error,171,High,High,"[""Address seems to be incomplete."",""Email does not exist."",""Email's domain does not exist.""]", ,"[""Person's name matched against multiple sources."",""Person's has significant internet presence.""]",693,Medium,East,New Delhi,New Delhi
617489854947,Raj Sharma,,,,False,701,False,False,-1,-1.0,Low,-1,-1.0,Reliance Jio,Delhi,4058725802.0,True,prepaid,False,,,Error,Account Found,Account Found,Account Found,Account Not Found,Account Not Found,Account Found,Account Found,Account Not Found,Error,Account Found,Error,Account Not Found,Account Not Found,Account Found,Error,280,Medium,Medium,"[""Address seems to be incomplete."",""Email does not exist."",""Email's domain does not exist.""]",8,[],408,Medium,East,New Delhi,New Delhi
595409836623,Sue Smith,Sam Brown,PAYTM,485526183775@randomvpa,False,-1,False,False,17,1.0,Low,-1,1.0,Reliance Jio,Rajasthan,4058680000.0,True,prepaid,True,IDEA,Rajasthan,Error,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Error,Account Found,Error,Account Not Found,Account Not Found,Account Not Found,Error,849,Medium,Low,"[""Address seems to be incomplete."",""Person's name differed across mutiple sources."",""Person has negligible social media presence."",""Person's phone has a digital age of less than 6 months."",""Email does not exist."",""Email's domain does not exist.""]",1,[],304,Medium,Jaipur,Jaipur,Rajasthan
949079805702,Raj Smith,Sam Singh,YBL,550327254461@randomvpa,False,4472,False,False,-1,1.0,Medium,-1,1.0,Airtel,Delhi,4041093192.0,True,prepaid,False,,,Error,Account Not Found,Account Not Found,Account Found,Account Not Found,Account Found,Account Not Found,Account Not Found,Account Not Found,Error,Account Found,Error,Account Not Found,Account Not Found,Account Found,Error,480,High,Low,"[""Address seems to be incomplete."",""Person's name differed across mutiple sources."",""Person has negligible social media presence."",""Email does not exist."",""Email's domain does not exist.""]",4,"[""Person's has significant internet presence.""]",639,Medium,East,New Delhi,New Delhi
320737360569,Priya Brown,,,,False,1899,False,False,22,1.0,High,-1,1.0,Reliance Jio,Delhi,4058720000.0,True,prepaid,True,Airtel,Delhi,Error,Account Found,Account Not Found,Account Found,Account Not Found,Account Not Found,Account Found,Account Not Found,Account Not Found,Error,Account Found,Error,Account Not Found,Account Not Found,Account Found,Error,296,High,Low,"[""Address seems to be incomplete."",""Person's name differed across mutiple sources."",""Person has negligible social media presence."",""Email does not exist."",""Email's domain does not exist.""]",5,"[""Person's has significant internet presence.""]",533,Medium,East,New Delhi,New Delhi
249406718713,Tom White,,,,False,2041,False,False,-1,-1.0,Medium,-1,-1.0,Airtel,Delhi,4041000000.0,True,prepaid,False,,,Error,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Error,Account Not Found,Error,Account Not Found,Account Not Found,Account Not Found,Error,645,High,Medium,"[""Address seems to be incomplete."",""Person has negligible social media presence."",""Email does not exist."",""Email's domain does not exist.""]",0,"[""Person's has significant internet presence.""]",320,Medium,East,New Delhi,New Delhi
738571901913,John White,,,,False,-1,False,False,-1,-1.0,Low,-1,-1.0,Airtel,Rajasthan,4047000000.0,True,prepaid,False,,,Error,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Error,Account Not Found,Error,Account Not Found,Account Not Found,Account Not Found,Error,770,Medium,Medium,"[""Address seems to be incomplete."",""Person has negligible social media presence."",""Person's phone has a digital age of less than 6 months."",""Email does not exist."",""Email's domain does not exist.""]",0,[],320,Medium,Jaipur,Jaipur,Rajasthan
020548506000,Tom Singh,John Singh,PAYTM,002968141987@randomvpa,False,2049,False,False,-1,1.0,High,-1,1.0,Airtel,Rajasthan,4047099507.0,True,prepaid,False,,,Error,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Found,Account Not Found,Account Not Found,Error,Account Found,Error,Account Not Found,Account Not Found,Account Found,Error,635,High,Low,"[""Address seems to be incomplete."",""Person's name differed across mutiple sources."",""Person has negligible social media presence."",""Email does not exist."",""Email's domain does not exist.""]",3,"[""Person's has significant internet presence.""]",512,Medium,Jaipur,Jaipur,Rajasthan
893077577362,Raj White,,,,False,2713,False,False,-1,-1.0,Medium,-1,-1.0,Airtel,UP-West,4049700000.0,True,prepaid,True,Reliance Jio,UP-West,Error,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Error,Account Not Found,Error,Account Not Found,Account Not Found,Account Not Found,Error,645,High,Medium,"[""Address seems to be incomplete."",""Person has negligible social media presence."",""Email does not exist."",""Email's domain does not exist.""]",0,"[""Person's has significant internet presence.""]",320,Medium,Vrindavan,Vrindavan,Uttar Pradesh
702638427511,Jane Brown,,,,False,330,False,False,-1,-1.0,Medium,-1,-1.0,Airtel,UP-West,4049700000.0,True,postpaid,False,,,Error,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Error,Account Found,Error,Account Not Found,Account Not Found,Account Not Found,Error,707,Medium,Medium,"[""Address seems to be incomplete."",""Person has negligible social media presence."",""Email does not exist."",""Email's domain does not exist.""]",1,[],304,Medium,Vrindavan,Vrindavan,Uttar Pradesh
569542284852,Priya Doe,,,,False,1909,False,False,51,1.0,High,-1,1.0,Vodafone,UP-West,4056600000.0,True,prepaid,True,IDEA,UP-West,Error,Account Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Found,Account Not Found,Account Not Found,Error,Account Found,Error,Account Not Found,Account Not Found,Account Found,Error,362,High,Low,"[""Address seems to be incomplete."",""Person's name differed across mutiple sources."",""Person has negligible social media presence."",""Email does not exist."",""Email's domain does not exist.""]",4,"[""Person's has significant internet presence.""]",501,Medium,Vrindavan,Vrindavan,Uttar Pradesh
046174408430,Lisa Doe,,,,False,1877,False,False,-1,-1.0,Medium,-1,-1.0,Vodafone,Rajasthan,4046000000.0,True,prepaid,False,,,Error,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Error,Account Not Found,Error,Account Not Found,Account Not Found,Account Found,Error,645,High,Medium,"[""Address seems to be incomplete."",""Person has negligible social media presence."",""Email does not exist."",""Email's domain does not exist.""]",1,"[""Person's has significant internet presence.""]",510,Medium,Jaipur,Jaipur,Rajasthan
936440064758,Sue White,,,,False,1899,False,False,-1,-1.0,Medium,-1,-1.0,Vodafone,UP-East,4041500000.0,True,prepaid,True,IDEA,UP-East,Error,Account Found,Account Not Found,Account Found,Account Not Found,Account Not Found,Account Found,Account Not Found,Account Not Found,Error,Account Not Found,Error,Account Not Found,Account Not Found,Account Not Found,Error,306,High,Medium,"[""Address seems to be incomplete."",""Person has negligible social media presence."",""Email does not exist."",""Email's domain does not exist.""]",3,"[""Person's has significant internet presence.""]",239,Medium,Lucknow,Lucknow,Uttar Pradesh
677380863963,Sam Doe,John White,PAYTM,130436187899@randomvpa,False,355,True,False,100,1.0,Medium,-1,0.0,Airtel,Delhi,4041095201.0,True,prepaid,True,Airtel,UP-West,Error,Account Not Found,Account Not Found,Account Found,Account Not Found,Account Not Found,Account Found,Account Not Found,Account Not Found,Error,Account Found,Error,Account Not Found,Account Not Found,Account Not Found,Error,507,Medium,High,"[""Address seems to be incomplete."",""Person has negligible social media presence."",""Email does not exist."",""Email's domain does not exist.""]",3,"[""Person's name matched against multiple sources.""]",201,Medium,East,New Delhi,New Delhi
944386156889,John Smith,Raj Brown,PAYTM,821579667262@randomvpa,False,2584,True,True,100,1.0,Medium,-1,0.0,Vodafone,Delhi,4041100000.0,True,prepaid,True,IDEA,Delhi,Error,Account Not Found,Account Not Found,Account Found,Account Not Found,Account Not Found,Account Found,Account Not Found,Account Not Found,Error,Account Found,Error,Account Not Found,Account Not Found,Account Found,Error,355,High,High,"[""Address seems to be incomplete."",""Person has negligible social media presence."",""Email does not exist."",""Email's domain does not exist.""]",4,"[""Person's name matched against multiple sources."",""Person's has significant internet presence.""]",482,Medium,Delhi,Gurgaon,Haryana
480875395524,Priya White,Tom Singh,PAYTM,669253207910@randomvpa,False,3715,True,False,100,1.0,Medium,-1,0.0,Reliance Jio,Rajasthan,4058680000.0,True,prepaid,True,Airtel,Rajasthan,Error,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Found,Account Not Found,Account Not Found,Error,Account Found,Error,Account Not Found,Account Not Found,Account Found,Error,510,High,High,"[""Address seems to be incomplete."",""Person has negligible social media presence."",""Email does not exist."",""Email's domain does not exist.""]",3,"[""Person's name matched against multiple sources."",""Person's has significant internet presence.""]",512,Medium,Jaipur,Jaipur,Rajasthan
278831473617,John Singh,Lisa Brown,OKAXIS,158545316441@randomvpa,False,418,True,True,100,1.0,High,-1,0.0,Airtel,Bihar and Jharkhand,4055241700.0,True,prepaid,False,,,Error,Account Found,Account Found,Account Found,Account Found,Account Found,Account Found,Account Not Found,Account Not Found,Error,Account Found,Error,Account Not Found,Account Found,Account Found,Error,234,Medium,High,"[""Address seems to be incomplete."",""Email does not exist."",""Email's domain does not exist.""]",10,"[""Person's name matched against multiple sources.""]",612,Medium,North East,New Delhi,New Delhi
393021264631,John Brown,Tom Sharma,IBL,273670546457@randomvpa,False,-1,True,True,100,1.0,Low,-1,0.0,Airtel,Delhi,4041000000.0,True,prepaid,True,Vodafone,Delhi,Error,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Error,Account Found,Error,Account Not Found,Account Not Found,Account Found,Error,635,Medium,High,"[""Address seems to be incomplete."",""Person has negligible social media presence."",""Person's phone has a digital age of less than 6 months."",""Email does not exist."",""Email's domain does not exist.""]",2,"[""Person's name matched against multiple sources.""]",554,Medium,East,New Delhi,New Delhi
454988824449,Sam Doe,,,,False,2619,False,False,-1,-1.0,Medium,-1,-1.0,Airtel,Delhi,4041000000.0,True,prepaid,False,,,Error,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Error,Account Found,Error,Account Not Found,Account Not Found,Account Not Found,Error,645,High,Medium,"[""Address seems to be incomplete."",""Person has negligible social media presence."",""Email does not exist."",""Email's domain does not exist.""]",1,"[""Person's has significant internet presence.""]",304,Medium,Faridabad,Faridabad,Haryana
946965144507,Sue Brown,,,,False,2307,False,False,-1,-1.0,High,-1,-1.0,Reliance Jio,Bihar and Jharkhand,4058566239.0,True,prepaid,False,,,Error,Account Found,Account Not Found,Account Found,Account Not Found,Account Not Found,Account Found,Account Not Found,Account Not Found,Error,Account Found,Error,Account Not Found,Account Not Found,Account Found,Error,217,High,Medium,"[""Address seems to be incomplete."",""Email does not exist."",""Email's domain does not exist.""]",6,"[""Person's has significant internet presence.""]",574,Medium,East,New Delhi,New Delhi
643433511155,Tom Doe,Tom White,PAYTM,211001583078@randomvpa,False,1909,False,True,75,0.0,High,1909,0.5,Reliance Jio,UP-West,4058700000.0,True,prepaid,True,Airtel,UP-West,Error,Account Found,Account Not Found,Account Found,Account Not Found,Account Not Found,Account Found,Account Not Found,Account Not Found,Error,Account Found,Error,Account Not Found,Account Not Found,Account Found,Error,250,High,High,"[""Address seems to be incomplete."",""Person has negligible social media presence."",""Email does not exist."",""Email's domain does not exist.""]",5,"[""Person's name matched against multiple sources."",""Person's has significant internet presence.""]",533,Medium,Vrindavan,Vrindavan,Uttar Pradesh
950918037225,Sam Brown,Sue Brown,OKICICI,886734429872@randomvpa,False,0,False,False,0,0.0,,0,0.0,Reliance Jio,Delhi,4058720000.0,True,prepaid,False,,,Error,Account Found,Account Found,Account Found,Account Not Found,Account Found,Account Found,Account Not Found,Account Not Found,Error,Account Found,Error,Account Not Found,Account Not Found,Account Found,Error,342,Medium,High,"[""Address seems to be incomplete."",""Person's phone has a digital age of less than 6 months."",""Email does not exist."",""Email's domain does not exist.""]",7,"[""Person's name matched against multiple sources.""]",591,Medium,East,New Delhi,New Delhi
922263462144,Jane Doe,,,,False,2637,False,False,-1,-1.0,Medium,-1,-1.0,Airtel,Delhi,4041070429.0,True,prepaid,False,,,Error,Account Not Found,Account Not Found,Account Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Error,Account Not Found,Error,Account Not Found,Account Not Found,Account Found,Error,490,High,Medium,"[""Address seems to be incomplete."",""Person has negligible social media presence."",""Email does not exist."",""Email's domain does not exist.""]",2,"[""Person's has significant internet presence.""]",496,Medium,Ghaziabad,Ghaziabad,Uttar Pradesh
051042043918,Sue White,Tom Doe,YBL,322207826530@randomvpa,False,477,False,False,-1,0.0,Medium,-1,1.0,Airtel,Delhi,4041000000.0,True,postpaid,False,,,Error,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Error,Account Not Found,Error,Account Not Found,Account Not Found,Account Not Found,Error,786,Medium,Low,"[""Address seems to be incomplete."",""Person's name differed across mutiple sources."",""Person has negligible social media presence."",""Email does not exist."",""Email's domain does not exist.""]",1,[],300,Medium,East,New Delhi,New Delhi
337557742449,Sue Singh,,,,False,1692,False,False,-1,-1.0,Medium,-1,-1.0,Airtel,Delhi,4041000000.0,True,prepaid,True,Reliance Jio,Delhi,Error,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Found,Account Not Found,Account Not Found,Account Not Found,Error,Account Not Found,Error,Account Not Found,Account Not Found,Account Not Found,Error,645,High,Medium,"[""Address seems to be incomplete."",""Person has negligible social media presence."",""Email does not exist."",""Email's domain does not exist.""]",1,"[""Person's has significant internet presence.""]",354,Medium,Faridabad,New Delhi,New Delhi
298132072436,Raj Singh,Lisa Smith,OKICICI,825219031123@randomvpa,False,2669,True,True,100,1.0,Medium,-1,0.0,Airtel,UP-East,4055479856.0,True,prepaid,True,Reliance Jio,UP-East,Error,Account Found,Account Not Found,Account Found,Account Not Found,Account Not Found,Account Found,Account Not Found,Account Not Found,Error,Account Found,Error,Account Not Found,Account Not Found,Account Found,Error,171,High,High,"[""Address seems to be incomplete."",""Email does not exist."",""Email's domain does not exist.""]",6,"[""Person's name matched against multiple sources."",""Person's has significant internet presence.""]",574,Medium,Lucknow,Lucknow,Uttar Pradesh
321486389450,John Smith,Sue Smith,YBL,626941024090@randomvpa,False,1909,True,False,100,0.333333,Medium,1909,0.0,Reliance Jio,UP-West,4058702317.0,True,prepaid,True,IDEA,UP-West,Error,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Error,Account Found,Error,Account Not Found,Account Not Found,Account Not Found,Error,599,High,High,"[""Address seems to be incomplete."",""Person has negligible social media presence."",""Email does not exist."",""Email's domain does not exist.""]",1,"[""Person's name matched against multiple sources."",""Person's has significant internet presence.""]",304,Medium,Vrindavan,Vrindavan,Uttar Pradesh
643390936236,Sue White,,,,False,2605,False,False,-1,-1.0,High,-1,-1.0,Reliance Jio,Delhi,4058724420.0,True,prepaid,False,,,Error,Account Found,Account Not Found,Account Found,Account Not Found,Account Found,Account Found,Account Not Found,Account Found,Error,Account Found,Error,Account Not Found,Account Not Found,Account Found,Error,217,High,Medium,"[""Address seems to be incomplete."",""Email does not exist."",""Email's domain does not exist.""]",8,"[""Person's has significant internet presence.""]",665,Medium,East,New Delhi,New Delhi
758022799149,Sam White,Sue Brown,OKSBI,626073314662@randomvpa,False,1430,True,True,100,1.0,High,-1,0.0,Airtel,Rajasthan,4047083065.0,True,prepaid,False,,,Error,Account Found,Account Not Found,Account Found,Account Not Found,Account Not Found,Account Found,Account Not Found,Account Found,Error,Account Found,Error,Account Not Found,Account Not Found,Account Found,Error,234,Medium,High,"[""Address seems to be incomplete."",""Email does not exist."",""Email's domain does not exist.""]",6,"[""Person's name matched against multiple sources.""]",562,Medium,Jaipur,Jaipur,Rajasthan
079864974101,John Doe,,,,False,330,False,False,-1,-1.0,Medium,-1,-1.0,Airtel,UP-West,4049700000.0,True,prepaid,False,,,Error,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Found,Account Not Found,Account Not Found,Error,Account Found,Error,Account Not Found,Account Not Found,Account Not Found,Error,618,Medium,Medium,"[""Address seems to be incomplete."",""Person has negligible social media presence."",""Email does not exist."",""Email's domain does not exist.""]",2,[],205,Medium,Vrindavan,Vrindavan,Uttar Pradesh
081136479439,Lisa Smith,,,,False,609,False,False,-1,-1.0,Medium,-1,-1.0,Reliance Jio,Rajasthan,4058680000.0,True,prepaid,False,,,Error,Account Not Found,Account Not Found,Account Found,Account Not Found,Account Found,Account Found,Account Not Found,Account Not Found,Error,Account Found,Error,Account Not Found,Account Not Found,Account Found,Error,464,Medium,Medium,"[""Address seems to be incomplete."",""Email does not exist."",""Email's domain does not exist.""]",6,[],611,Medium,Jaipur,Jaipur,Rajasthan
582093383964,Sue Brown,,,,False,-1,False,False,-1,-1.0,Medium,-1,-1.0,Reliance Jio,Rajasthan,4058680000.0,True,prepaid,True,IDEA,Haryana,Error,Account Found,Account Not Found,Account Found,Account Not Found,Account Not Found,Account Found,Account Not Found,Account Not Found,Error,Account Found,Error,Account Not Found,Account Not Found,Account Found,Error,342,Medium,Medium,"[""Address seems to be incomplete."",""Person has negligible social media presence."",""Person's phone has a digital age of less than 6 months."",""Email does not exist."",""Email's domain does not exist.""]",5,[],533,Medium,Jaipur,Jaipur,Rajasthan
903905656010,Jane Doe,Jane Smith,PAYTM,871105624442@randomvpa,False,2619,True,True,100,1.0,Medium,-1,0.0,Vodafone,Delhi,4041136204.0,True,prepaid,True,Airtel,Delhi,Error,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Found,Account Not Found,Account Not Found,Error,Account Found,Error,Account Not Found,Account Not Found,Account Found,Error,421,High,High,"[""Address seems to be incomplete."",""Person has negligible social media presence."",""Email does not exist."",""Email's domain does not exist.""]",4,"[""Person's name matched against multiple sources."",""Person's has significant internet presence.""]",499,Medium,East,New Delhi,New Delhi
556915525352,Priya Smith,Sue Sharma,OKICICI,566767835018@randomvpa,True,1971,True,True,100,1.0,High,-1,0.0,Airtel,Delhi,4041075033.0,True,prepaid,True,Other networks,,Error,Account Not Found,Account Found,Account Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Error,Account Found,Error,Account Not Found,Account Found,Account Found,Error,355,High,High,"[""Address seems to be incomplete."",""Person has negligible social media presence."",""Email does not exist."",""Email's domain does not exist.""]",5,"[""Person's name matched against multiple sources."",""Person's has significant internet presence.""]",602,Medium,Gurgaon,Gurgaon,Haryana
299218023836,Lisa Sharma,Priya Brown,PAYTM,527854367477@randomvpa,False,609,True,True,100,1.0,Medium,-1,0.0,Airtel,Rajasthan,4047089557.0,True,postpaid,True,Reliance Jio,Rajasthan,Error,Account Found,Account Found,Account Found,Account Not Found,Account Not Found,Account Found,Account Not Found,Account Not Found,Error,Account Found,Error,Account Not Found,Account Not Found,Account Found,Error,234,Medium,High,"[""Address seems to be incomplete."",""Email does not exist."",""Email's domain does not exist.""]",6,"[""Person's name matched against multiple sources.""]",574,Medium,Jaipur,Jaipur,Rajasthan
